metric,value
material_points_initial,3570.0
material_points_final,3570.0
body_area_m2,146.6025403780488
body_mass_kg_per_m,293205.08075609757
body_weight_N_per_m,2876341.8422173173
bottom_reaction_x_N_per_m,-327618.14500427246
bottom_reaction_y_N_per_m,2876342.9329833984
vertical_force_balance_error_percent,3.7921990533641436e-05
mean_displacement_m,0.01181111056261555
p95_displacement_m,0.02445905138028252
max_displacement_m,0.025702891040792947
p95_velocity_m_s,5.395500183105469
max_velocity_m_s,5.395500183105469
coordinate_displacement_rmse_m,4.301044776919657e-07
coordinate_displacement_max_error_m,1.8081627786159515e-06
sigma_xx_min_kPa,-89.1707578125
sigma_xx_max_kPa,8.418568968772888e-05
sigma_yy_min_kPa,-210.641796875
sigma_yy_max_kPa,-0.15957829284667968
tau_xy_min_kPa,-8.733923828125
tau_xy_max_kPa,29.965595703125
max_equivalent_plastic_strain,0.0
plastic_mp_fraction_gt_1e8_percent,0.0
plastic_mp_fraction_gt_1e4_percent,0.0
