node_id,x_m,y_m,z_m
1,0.0,0.0,0.0
2,0.0,0.5,0.0
3,0.0,1.0,0.0
4,0.0,1.5,0.0
5,0.0,2.0,0.0
6,0.0,2.5,0.0
7,0.0,3.0,0.0
8,0.0,3.5,0.0
9,0.0,4.0,0.0
10,0.0,4.5,0.0
11,0.0,5.0,0.0
12,0.0,5.5,0.0
13,0.0,6.0,0.0
14,0.0,6.5,0.0
15,0.0,7.0,0.0
16,0.0,7.5,0.0
17,0.0,8.0,0.0
18,0.0,8.5,0.0
19,0.0,9.0,0.0
20,0.0,9.5,0.0
21,0.0,10.0,0.0
22,0.5,0.0,0.0
23,0.5,0.5,0.0
24,0.5,1.0,0.0
25,0.5,1.5,0.0
26,0.5,2.0,0.0
27,0.5,2.5,0.0
28,0.5,3.0,0.0
29,0.5,3.5,0.0
30,0.5,4.0,0.0
31,0.5,4.5,0.0
32,0.5,5.0,0.0
33,0.5,5.5,0.0
34,0.5,6.0,0.0
35,0.5,6.5,0.0
36,0.5,7.0,0.0
37,0.5,7.5,0.0
38,0.5,8.0,0.0
39,0.5,8.5,0.0
40,0.5,9.0,0.0
41,0.5,9.5,0.0
42,0.5,10.0,0.0
43,1.0,0.0,0.0
44,1.0,0.5,0.0
45,1.0,1.0,0.0
46,1.0,1.5,0.0
47,1.0,2.0,0.0
48,1.0,2.5,0.0
49,1.0,3.0,0.0
50,1.0,3.5,0.0
51,1.0,4.0,0.0
52,1.0,4.5,0.0
53,1.0,5.0,0.0
54,1.0,5.5,0.0
55,1.0,6.0,0.0
56,1.0,6.5,0.0
57,1.0,7.0,0.0
58,1.0,7.5,0.0
59,1.0,8.0,0.0
60,1.0,8.5,0.0
61,1.0,9.0,0.0
62,1.0,9.5,0.0
63,1.0,10.0,0.0
64,1.5,0.0,0.0
65,1.5,0.5,0.0
66,1.5,1.0,0.0
67,1.5,1.5,0.0
68,1.5,2.0,0.0
69,1.5,2.5,0.0
70,1.5,3.0,0.0
71,1.5,3.5,0.0
72,1.5,4.0,0.0
73,1.5,4.5,0.0
74,1.5,5.0,0.0
75,1.5,5.5,0.0
76,1.5,6.0,0.0
77,1.5,6.5,0.0
78,1.5,7.0,0.0
79,1.5,7.5,0.0
80,1.5,8.0,0.0
81,1.5,8.5,0.0
82,1.5,9.0,0.0
83,1.5,9.5,0.0
84,1.5,10.0,0.0
85,2.0,0.0,0.0
86,2.0,0.5,0.0
87,2.0,1.0,0.0
88,2.0,1.5,0.0
89,2.0,2.0,0.0
90,2.0,2.5,0.0
91,2.0,3.0,0.0
92,2.0,3.5,0.0
93,2.0,4.0,0.0
94,2.0,4.5,0.0
95,2.0,5.0,0.0
96,2.0,5.5,0.0
97,2.0,6.0,0.0
98,2.0,6.5,0.0
99,2.0,7.0,0.0
100,2.0,7.5,0.0
101,2.0,8.0,0.0
102,2.0,8.5,0.0
103,2.0,9.0,0.0
104,2.0,9.5,0.0
105,2.0,10.0,0.0
106,2.5,0.0,0.0
107,2.5,0.5,0.0
108,2.5,1.0,0.0
109,2.5,1.5,0.0
110,2.5,2.0,0.0
111,2.5,2.5,0.0
112,2.5,3.0,0.0
113,2.5,3.5,0.0
114,2.5,4.0,0.0
115,2.5,4.5,0.0
116,2.5,5.0,0.0
117,2.5,5.5,0.0
118,2.5,6.0,0.0
119,2.5,6.5,0.0
120,2.5,7.0,0.0
121,2.5,7.5,0.0
122,2.5,8.0,0.0
123,2.5,8.5,0.0
124,2.5,9.0,0.0
125,2.5,9.5,0.0
126,2.5,10.0,0.0
127,3.0,0.0,0.0
128,3.0,0.5,0.0
129,3.0,1.0,0.0
130,3.0,1.5,0.0
131,3.0,2.0,0.0
132,3.0,2.5,0.0
133,3.0,3.0,0.0
134,3.0,3.5,0.0
135,3.0,4.0,0.0
136,3.0,4.5,0.0
137,3.0,5.0,0.0
138,3.0,5.5,0.0
139,3.0,6.0,0.0
140,3.0,6.5,0.0
141,3.0,7.0,0.0
142,3.0,7.5,0.0
143,3.0,8.0,0.0
144,3.0,8.5,0.0
145,3.0,9.0,0.0
146,3.0,9.5,0.0
147,3.0,10.0,0.0
148,3.5,0.0,0.0
149,3.5,0.5,0.0
150,3.5,1.0,0.0
151,3.5,1.5,0.0
152,3.5,2.0,0.0
153,3.5,2.5,0.0
154,3.5,3.0,0.0
155,3.5,3.5,0.0
156,3.5,4.0,0.0
157,3.5,4.5,0.0
158,3.5,5.0,0.0
159,3.5,5.5,0.0
160,3.5,6.0,0.0
161,3.5,6.5,0.0
162,3.5,7.0,0.0
163,3.5,7.5,0.0
164,3.5,8.0,0.0
165,3.5,8.5,0.0
166,3.5,9.0,0.0
167,3.5,9.5,0.0
168,3.5,10.0,0.0
169,4.0,0.0,0.0
170,4.0,0.5,0.0
171,4.0,1.0,0.0
172,4.0,1.5,0.0
173,4.0,2.0,0.0
174,4.0,2.5,0.0
175,4.0,3.0,0.0
176,4.0,3.5,0.0
177,4.0,4.0,0.0
178,4.0,4.5,0.0
179,4.0,5.0,0.0
180,4.0,5.5,0.0
181,4.0,6.0,0.0
182,4.0,6.5,0.0
183,4.0,7.0,0.0
184,4.0,7.5,0.0
185,4.0,8.0,0.0
186,4.0,8.5,0.0
187,4.0,9.0,0.0
188,4.0,9.5,0.0
189,4.0,10.0,0.0
190,4.5,0.0,0.0
191,4.5,0.5,0.0
192,4.5,1.0,0.0
193,4.5,1.5,0.0
194,4.5,2.0,0.0
195,4.5,2.5,0.0
196,4.5,3.0,0.0
197,4.5,3.5,0.0
198,4.5,4.0,0.0
199,4.5,4.5,0.0
200,4.5,5.0,0.0
201,4.5,5.5,0.0
202,4.5,6.0,0.0
203,4.5,6.5,0.0
204,4.5,7.0,0.0
205,4.5,7.5,0.0
206,4.5,8.0,0.0
207,4.5,8.5,0.0
208,4.5,9.0,0.0
209,4.5,9.5,0.0
210,4.5,10.0,0.0
211,5.0,0.0,0.0
212,5.0,0.5,0.0
213,5.0,1.0,0.0
214,5.0,1.5,0.0
215,5.0,2.0,0.0
216,5.0,2.5,0.0
217,5.0,3.0,0.0
218,5.0,3.5,0.0
219,5.0,4.0,0.0
220,5.0,4.5,0.0
221,5.0,5.0,0.0
222,5.0,5.5,0.0
223,5.0,6.0,0.0
224,5.0,6.5,0.0
225,5.0,7.0,0.0
226,5.0,7.5,0.0
227,5.0,8.0,0.0
228,5.0,8.5,0.0
229,5.0,9.0,0.0
230,5.0,9.5,0.0
231,5.0,10.0,0.0
232,5.5,0.0,0.0
233,5.5,0.5,0.0
234,5.5,1.0,0.0
235,5.5,1.5,0.0
236,5.5,2.0,0.0
237,5.5,2.5,0.0
238,5.5,3.0,0.0
239,5.5,3.5,0.0
240,5.5,4.0,0.0
241,5.5,4.5,0.0
242,5.5,5.0,0.0
243,5.5,5.5,0.0
244,5.5,6.0,0.0
245,5.5,6.5,0.0
246,5.5,7.0,0.0
247,5.5,7.5,0.0
248,5.5,8.0,0.0
249,5.5,8.5,0.0
250,5.5,9.0,0.0
251,5.5,9.5,0.0
252,5.5,10.0,0.0
253,6.0,0.0,0.0
254,6.0,0.5,0.0
255,6.0,1.0,0.0
256,6.0,1.5,0.0
257,6.0,2.0,0.0
258,6.0,2.5,0.0
259,6.0,3.0,0.0
260,6.0,3.5,0.0
261,6.0,4.0,0.0
262,6.0,4.5,0.0
263,6.0,5.0,0.0
264,6.0,5.5,0.0
265,6.0,6.0,0.0
266,6.0,6.5,0.0
267,6.0,7.0,0.0
268,6.0,7.5,0.0
269,6.0,8.0,0.0
270,6.0,8.5,0.0
271,6.0,9.0,0.0
272,6.0,9.5,0.0
273,6.0,10.0,0.0
274,6.422451416,9.756097561,0.0
275,6.5,0.0,0.0
276,6.5,0.5,0.0
277,6.5,1.0,0.0
278,6.5,1.5,0.0
279,6.5,2.0,0.0
280,6.5,2.5,0.0
281,6.5,3.0,0.0
282,6.5,3.5,0.0
283,6.5,4.0,0.0
284,6.5,4.5,0.0
285,6.5,5.0,0.0
286,6.5,5.5,0.0
287,6.5,6.0,0.0
288,6.5,6.5,0.0
289,6.5,7.0,0.0
290,6.5,7.5,0.0
291,6.5,8.0,0.0
292,6.5,8.5,0.0
293,6.5,9.0,0.0
294,6.5,9.5,0.0
295,6.844902833,9.512195122,0.0
296,7.0,0.0,0.0
297,7.0,0.5,0.0
298,7.0,1.0,0.0
299,7.0,1.5,0.0
300,7.0,2.0,0.0
301,7.0,2.5,0.0
302,7.0,3.0,0.0
303,7.0,3.5,0.0
304,7.0,4.0,0.0
305,7.0,4.5,0.0
306,7.0,5.0,0.0
307,7.0,5.5,0.0
308,7.0,6.0,0.0
309,7.0,6.5,0.0
310,7.0,7.0,0.0
311,7.0,7.5,0.0
312,7.0,8.0,0.0
313,7.0,8.5,0.0
314,7.0,9.0,0.0
315,7.267354249,9.268292683,0.0
316,7.5,0.0,0.0
317,7.5,0.5,0.0
318,7.5,1.0,0.0
319,7.5,1.5,0.0
320,7.5,2.0,0.0
321,7.5,2.5,0.0
322,7.5,3.0,0.0
323,7.5,3.5,0.0
324,7.5,4.0,0.0
325,7.5,4.5,0.0
326,7.5,5.0,0.0
327,7.5,5.5,0.0
328,7.5,6.0,0.0
329,7.5,6.5,0.0
330,7.5,7.0,0.0
331,7.5,7.5,0.0
332,7.5,8.0,0.0
333,7.5,8.5,0.0
334,7.689805666,9.024390244,0.0
335,8.0,0.0,0.0
336,8.0,0.5,0.0
337,8.0,1.0,0.0
338,8.0,1.5,0.0
339,8.0,2.0,0.0
340,8.0,2.5,0.0
341,8.0,3.0,0.0
342,8.0,3.5,0.0
343,8.0,4.0,0.0
344,8.0,4.5,0.0
345,8.0,5.0,0.0
346,8.0,5.5,0.0
347,8.0,6.0,0.0
348,8.0,6.5,0.0
349,8.0,7.0,0.0
350,8.0,7.5,0.0
351,8.0,8.0,0.0
352,8.0,8.5,0.0
353,8.112257082,8.780487805,0.0
354,8.5,0.0,0.0
355,8.5,0.5,0.0
356,8.5,1.0,0.0
357,8.5,1.5,0.0
358,8.5,2.0,0.0
359,8.5,2.5,0.0
360,8.5,3.0,0.0
361,8.5,3.5,0.0
362,8.5,4.0,0.0
363,8.5,4.5,0.0
364,8.5,5.0,0.0
365,8.5,5.5,0.0
366,8.5,6.0,0.0
367,8.5,6.5,0.0
368,8.5,7.0,0.0
369,8.5,7.5,0.0
370,8.5,8.0,0.0
371,8.534708499,8.536585366,0.0
372,8.957159915,8.292682927,0.0
373,9.0,0.0,0.0
374,9.0,0.5,0.0
375,9.0,1.0,0.0
376,9.0,1.5,0.0
377,9.0,2.0,0.0
378,9.0,2.5,0.0
379,9.0,3.0,0.0
380,9.0,3.5,0.0
381,9.0,4.0,0.0
382,9.0,4.5,0.0
383,9.0,5.0,0.0
384,9.0,5.5,0.0
385,9.0,6.0,0.0
386,9.0,6.5,0.0
387,9.0,7.0,0.0
388,9.0,7.5,0.0
389,9.0,8.0,0.0
390,9.379611332,8.048780488,0.0
391,9.5,0.0,0.0
392,9.5,0.5,0.0
393,9.5,1.0,0.0
394,9.5,1.5,0.0
395,9.5,2.0,0.0
396,9.5,2.5,0.0
397,9.5,3.0,0.0
398,9.5,3.5,0.0
399,9.5,4.0,0.0
400,9.5,4.5,0.0
401,9.5,5.0,0.0
402,9.5,5.5,0.0
403,9.5,6.0,0.0
404,9.5,6.5,0.0
405,9.5,7.0,0.0
406,9.5,7.5,0.0
407,9.802062748,7.804878049,0.0
408,10.0,0.0,0.0
409,10.0,0.5,0.0
410,10.0,1.0,0.0
411,10.0,1.5,0.0
412,10.0,2.0,0.0
413,10.0,2.5,0.0
414,10.0,3.0,0.0
415,10.0,3.5,0.0
416,10.0,4.0,0.0
417,10.0,4.5,0.0
418,10.0,5.0,0.0
419,10.0,5.5,0.0
420,10.0,6.0,0.0
421,10.0,6.5,0.0
422,10.0,7.0,0.0
423,10.0,7.5,0.0
424,10.224514165,7.56097561,0.0
425,10.5,0.0,0.0
426,10.5,0.5,0.0
427,10.5,1.0,0.0
428,10.5,1.5,0.0
429,10.5,2.0,0.0
430,10.5,2.5,0.0
431,10.5,3.0,0.0
432,10.5,3.5,0.0
433,10.5,4.0,0.0
434,10.5,4.5,0.0
435,10.5,5.0,0.0
436,10.5,5.5,0.0
437,10.5,6.0,0.0
438,10.5,6.5,0.0
439,10.5,7.0,0.0
440,10.646965581,7.317073171,0.0
441,11.0,0.0,0.0
442,11.0,0.5,0.0
443,11.0,1.0,0.0
444,11.0,1.5,0.0
445,11.0,2.0,0.0
446,11.0,2.5,0.0
447,11.0,3.0,0.0
448,11.0,3.5,0.0
449,11.0,4.0,0.0
450,11.0,4.5,0.0
451,11.0,5.0,0.0
452,11.0,5.5,0.0
453,11.0,6.0,0.0
454,11.0,6.5,0.0
455,11.069416998,7.073170732,0.0
456,11.491868414,6.829268293,0.0
457,11.5,0.0,0.0
458,11.5,0.5,0.0
459,11.5,1.0,0.0
460,11.5,1.5,0.0
461,11.5,2.0,0.0
462,11.5,2.5,0.0
463,11.5,3.0,0.0
464,11.5,3.5,0.0
465,11.5,4.0,0.0
466,11.5,4.5,0.0
467,11.5,5.0,0.0
468,11.5,5.5,0.0
469,11.5,6.0,0.0
470,11.5,6.5,0.0
471,11.914319831,6.585365854,0.0
472,12.0,0.0,0.0
473,12.0,0.5,0.0
474,12.0,1.0,0.0
475,12.0,1.5,0.0
476,12.0,2.0,0.0
477,12.0,2.5,0.0
478,12.0,3.0,0.0
479,12.0,3.5,0.0
480,12.0,4.0,0.0
481,12.0,4.5,0.0
482,12.0,5.0,0.0
483,12.0,5.5,0.0
484,12.0,6.0,0.0
485,12.336771247,6.341463415,0.0
486,12.5,0.0,0.0
487,12.5,0.5,0.0
488,12.5,1.0,0.0
489,12.5,1.5,0.0
490,12.5,2.0,0.0
491,12.5,2.5,0.0
492,12.5,3.0,0.0
493,12.5,3.5,0.0
494,12.5,4.0,0.0
495,12.5,4.5,0.0
496,12.5,5.0,0.0
497,12.5,5.5,0.0
