node_id,x_m,y_m,z_m
1,0.0,0.0,0.0
2,0.5,0.0,0.0
3,1.0,0.0,0.0
4,1.5,0.0,0.0
5,2.0,0.0,0.0
6,2.5,0.0,0.0
7,3.0,0.0,0.0
8,3.5,0.0,0.0
9,4.0,0.0,0.0
10,4.5,0.0,0.0
11,5.0,0.0,0.0
12,5.5,0.0,0.0
13,6.0,0.0,0.0
14,6.5,0.0,0.0
15,7.0,0.0,0.0
16,7.5,0.0,0.0
17,8.0,0.0,0.0
18,8.5,0.0,0.0
19,9.0,0.0,0.0
20,9.5,0.0,0.0
21,10.0,0.0,0.0
22,10.5,0.0,0.0
23,11.0,0.0,0.0
24,11.5,0.0,0.0
25,12.0,0.0,0.0
26,12.5,0.0,0.0
27,13.0,0.0,0.0
28,13.5,0.0,0.0
29,14.0,0.0,0.0
30,14.5,0.0,0.0
31,15.0,0.0,0.0
32,15.5,0.0,0.0
33,16.0,0.0,0.0
34,16.5,0.0,0.0
35,17.0,0.0,0.0
36,17.5,0.0,0.0
37,18.0,0.0,0.0
38,18.5,0.0,0.0
39,19.0,0.0,0.0
40,19.5,0.0,0.0
41,20.0,0.0,0.0
42,20.5,0.0,0.0
43,21.0,0.0,0.0
44,21.5,0.0,0.0
45,22.0,0.0,0.0
46,22.5,0.0,0.0
47,23.0,0.0,0.0
48,23.5,0.0,0.0
49,24.0,0.0,0.0
50,24.5,0.0,0.0
51,25.0,0.0,0.0
52,25.5,0.0,0.0
53,26.0,0.0,0.0
54,26.5,0.0,0.0
55,27.0,0.0,0.0
56,27.5,0.0,0.0
57,28.0,0.0,0.0
58,28.5,0.0,0.0
59,29.0,0.0,0.0
60,29.5,0.0,0.0
61,30.0,0.0,0.0
62,30.5,0.0,0.0
63,31.0,0.0,0.0
64,31.5,0.0,0.0
65,32.0,0.0,0.0
66,32.5,0.0,0.0
67,33.0,0.0,0.0
68,33.5,0.0,0.0
69,34.0,0.0,0.0
70,34.5,0.0,0.0
71,35.0,0.0,0.0
72,35.5,0.0,0.0
73,36.0,0.0,0.0
74,36.5,0.0,0.0
75,37.0,0.0,0.0
76,37.5,0.0,0.0
77,38.0,0.0,0.0
78,0.0,0.5,0.0
79,0.5,0.5,0.0
80,1.0,0.5,0.0
81,1.5,0.5,0.0
82,2.0,0.5,0.0
83,2.5,0.5,0.0
84,3.0,0.5,0.0
85,3.5,0.5,0.0
86,4.0,0.5,0.0
87,4.5,0.5,0.0
88,5.0,0.5,0.0
89,5.5,0.5,0.0
90,6.0,0.5,0.0
91,6.5,0.5,0.0
92,7.0,0.5,0.0
93,7.5,0.5,0.0
94,8.0,0.5,0.0
95,8.5,0.5,0.0
96,9.0,0.5,0.0
97,9.5,0.5,0.0
98,10.0,0.5,0.0
99,10.5,0.5,0.0
100,11.0,0.5,0.0
101,11.5,0.5,0.0
102,12.0,0.5,0.0
103,12.5,0.5,0.0
104,13.0,0.5,0.0
105,13.5,0.5,0.0
106,14.0,0.5,0.0
107,14.5,0.5,0.0
108,15.0,0.5,0.0
109,15.5,0.5,0.0
110,16.0,0.5,0.0
111,16.5,0.5,0.0
112,17.0,0.5,0.0
113,17.5,0.5,0.0
114,18.0,0.5,0.0
115,18.5,0.5,0.0
116,19.0,0.5,0.0
117,19.5,0.5,0.0
118,20.0,0.5,0.0
119,20.5,0.5,0.0
120,21.0,0.5,0.0
121,21.5,0.5,0.0
122,22.0,0.5,0.0
123,22.5,0.5,0.0
124,23.0,0.5,0.0
125,23.5,0.5,0.0
126,24.0,0.5,0.0
127,24.5,0.5,0.0
128,25.0,0.5,0.0
129,25.5,0.5,0.0
130,26.0,0.5,0.0
131,26.5,0.5,0.0
132,27.0,0.5,0.0
133,27.5,0.5,0.0
134,28.0,0.5,0.0
135,28.5,0.5,0.0
136,29.0,0.5,0.0
137,29.5,0.5,0.0
138,30.0,0.5,0.0
139,30.5,0.5,0.0
140,31.0,0.5,0.0
141,31.5,0.5,0.0
142,32.0,0.5,0.0
143,32.5,0.5,0.0
144,33.0,0.5,0.0
145,33.5,0.5,0.0
146,34.0,0.5,0.0
147,34.5,0.5,0.0
148,35.0,0.5,0.0
149,35.5,0.5,0.0
150,36.0,0.5,0.0
